No,name,addr,x,y,state,number,amount,zero
156,대덕승마장,대구광역시 달서구 앞산순환로 206,128.5548763,35.82190898,정좌표,40,734 ,734
157,장기공영주차장,대구광역시 달서구 장기동 817-1,128.5296275,35.84329402,정좌표,0,0 ,1454
158,월촌공원주차장,대구광역시 달서구 상인로 68-4,128.5489513,35.81278399,정좌표,0,0 ,1454
159,대구도시철도공사2(대영),대구광역시 달서구 월배로 250,128.5404334,35.81910359,정좌표,0,0 ,1454
160,대구테크노파크 신기술산업지원센터,대구광역시 달서구 성서공단로 46-17,128.4882946,35.83285776,정좌표,0,0 ,1454
161,상호림공원,대구광역시 달서구 호림동 1-6,128.4795968,35.83775952,정좌표,0,0 ,1454
162,용산1동행정복지센터,대구광역시 달서구 용산로 212-7,128.5312239,35.8566625,정좌표,26,626 ,626
163,감삼동행정복지센터,대구광역시 달서구 감삼북길 119-10,128.5421792,35.85102665,정좌표,17,463 ,463
164,"두류1,2동행정복지센터",대구광역시 달서구 성당로51길 32,128.5721971,35.85568742,정좌표,9,190 ,190
165,성당동행정복지센터,대구광역시 달서구 야외음악당로 38,128.5531474,35.84061372,정좌표,23,508 ,508
166,월성2동행정복지센터,대구광역시 달서구 월성로 65,128.5282742,35.83094908,정좌표,44,1343 ,1343
167,본동행정복지센터,대구광역시 달서구 구마로26길 62,128.541042,35.83444093,정좌표,30,1116 ,1116
168,월성1동행정복지센터,대구광역시 달서구 조암남로 97,128.5228367,35.819515,정좌표,77,1464 ,1464
169,상인2동행정복지센터,대구광역시 달서구 상원로 27,128.5362624,35.81255812,정좌표,39,785 ,785
170,상인1동행정복지센터,대구광역시 달서구 상인서로 40,128.5450096,35.81426535,정좌표,26,352 ,352
171,송현1동행정복지센터,대구광역시 달서구 중흥로8길 41,128.5547573,35.82923413,정좌표,28,650 ,650
172,도원동행정복지센터,대구광역시 달서구 한실로 53,128.5321898,35.8074824,정좌표,35,761 ,761
173,다사읍행정복지센터 서재출장소,대구광역시 달성군 다사읍 서재본길 25,128.4942567,35.87222087,정좌표,16,507 ,507
174,가창면행정복지센터,대구광역시 달성군 가창로 1100,128.6230237,35.80243192,정좌표,67,777 ,777
175,화원읍행정복지센터,대구광역시 달성군 화원읍 비슬로 2594,128.5007188,35.80423352,정좌표,40,977 ,977
176,논공읍행정복지센터,대구광역시 달성군 논공읍 비슬로 1779,128.4204628,35.77418923,정좌표,10,105 ,105
177,옥포읍행정복지센터,대구광역시 달성군 옥포읍 비슬로 2215,128.4634038,35.7893939,정좌표,9,386 ,386
178,현풍읍행정복지센터,대구광역시 달성군 현풍읍 비슬로134길 157,128.4475718,35.69724955,정좌표,20,480 ,480
179,신당동행정복지센터,대구광역시 달서구 선원로 60,128.4988313,35.85896696,정좌표,0,0 ,1454
180,두류3동행정복지센터,대구광역시 달서구 야외음악당로39길 24,128.5554702,35.85369882,정좌표,0,0 ,1454
181,상인3동행정복지센터,대구광역시 달서구 상인로 25,128.5502024,35.810066,정좌표,0,0 ,1454
182,유천동 행정복지센터,대구광역시 달서구 조암로 175,128.5139384,35.81725189,정좌표,0,0 ,1454
183,논공읍 논공공단출장소,대구광역시 달성군 논공읍 논공중앙로 33길 3,128.4527824,35.73003901,정좌표,165,2626 ,2626
184,달성군청,대구광역시 달성군 논공읍 달성군청로 33,128.4313894,35.77466292,정좌표,134,3423 ,3423
185,대구과학관,대구광역시 달성군 유가면 테크노대로6길 20,128.4659878,35.68837343,정좌표,78,1991 ,1991
186,다사읍행정복지센터,대구광역시 달성군 다사읍 매곡로 7,128.4539695,35.8618255,정좌표,253,4958 ,4958
187,달성군 농업기술센터,대구광역시 달성군 옥포면 비슬로 2040,128.4468507,35.7826012,정좌표,137,2398 ,2398
188,문양역 야외주차장,대구광역시 달성군 다사읍 문양리 470,128.4384773,35.86387965,정좌표,87,1444 ,1444
189,비슬산자연휴양림공영주차장,대구광역시 달성군 유가면 용리15,128.5039327,35.69364206,정좌표,12,392 ,392
190,한국산업단지 달성출장소,대구광역시 달성군 구지면 달성2차동1로 109,128.4194236,35.64094271,정좌표,62,1474 ,1474
191,하빈면 행정복지센터,대구광역시 달성군 하빈면 하빈로84길 1,128.4455528,35.90126042,정좌표,0,0 ,1454
192,다사체육공원 주차장,대구광역시 달성군 다사읍 이천리 30-1,128.4776988,35.89031671,정좌표,122,2586 ,2586
193,옥포면 행정복지센터,대구광역시 달성군 옥포면 비슬로 2215,128.4634038,35.7893939,정좌표,0,0 ,1454
194,지능형자동차부품연구원,대구광역시 달성군 구지면 국가산단서로 201,128.4048891,35.64517207,정좌표,0,0 ,1454
195,유가읍행정복지센터,대구광역시 달성군 유가읍 테크노상업로 95,128.4596465,35.69433414,정좌표,0,0 ,1454
196,달성문화센터,대구광역시 달성군 다사읍 대실역북로2길 188,128.4609552,35.8654753,정좌표,136,3470 ,3470
197,한국도로공사(유천IC),대구광역시 달성군 화원읍 구라리 1553-12,128.501426,35.81083359,정좌표,0,0 ,1454
